Exam1,Exam2,Quarter
71,50,Spr_2002
88,59,Aut_2002
87,51,Aut_2002
96,49,Spr_2002
70,42,Aut_2003
75,51,Spr_2002
75,68,Aut_2002
74,70,Aut_2002
67,45,Spr_2002
79,49,Spr_2002
81,51,Spr_2002
